rank_13,rank_12,institution,country,size,focus,research,age,status,academic_reputation_score_13,academic_reputation_rank_13,employer_reputation_score_13,employer_reputation_13_rank,faculty_student_score__13,faculty_student_rank_13,citations_per_faculty_score_13,citations_per_faculty_rank_13,intl_faculty_score_13,intl_faculty_rank_13,intl_students_score_13,intl_students_rank_13,overall_score_13
134,144,EBERHARD KARLS UNIVERSITÄT TÜBINGEN,DE,L,FC,VH,5,A,66.9,148,55.8,238,89.5,89,37.6,330,35.1,334,41.2,322,61.8
134,132,TECHNICAL UNIVERSITY OF DENMARK,DK,M,FO,VH,5,A,41.5,290,49.7,293,98.4,40,60.4,176,92.7,85,72.6,158,61.8
136,143,CARDIFF UNIVERSITY,GB,L,FC,VH,5,A,60.2,176,66.3,166,63.8,197,53.7,227,72.5,181,72.7,155,61.7
136,120,RICE UNIVERSITY,US,M,FC,VH,5,B,48.3,236,24.5,401,67.6,176,97.2,30,64.2,212,70.7,168,61.7
138,127,UNIVERSITÉ CATHOLIQUE DE LOUVAIN (UCL),BE,L,FC,HI,5,B,75.5,116,68.5,148,40.0,401,43.3,290,81.0,151,66.6,185,61.3
139,131,UNIVERSITY COLLEGE DUBLIN (UCD),IE,L,FC,VH,5,A,61.5,169,66.7,163,54.6,259,46.4,269,93.3,81,96.5,47,61.2
140,152,MCMASTER UNIVERSITY,CA,L,FC,VH,5,A,60.4,173,52.3,267,39.3,401,84,75,82.4,141,51.8,249,61.0
141,122,EMORY UNIVERSITY,US,L,FC,VH,5,B,42.7,275,30.8,401,87.8,96,99.4,17,18.1,401,43.5,305,60.9
141,140,HEBREW UNIVERSITY OF JERUSALEM,IL,L,FC,VH,4,A,68.0,144,37.5,401,73.4,154,65.7,135,28.2,376,9.2,401,60.9
143,136,RADBOUD UNIVERSITY NIJMEGEN,NL,L,FC,VH,4,A,44.2,263,52.9,261,75.1,144,89.6,56,57.2,230,36.8,355,60.8
144,138,HOKKAIDO UNIVERSITY,JP,L,FC,VH,5,A,64.9,157,61.2,194,88.0,94,45.3,277,13.5,401,18.8,401,60.6
145,137,KOREA UNIVERSITY,KR,L,FC,VH,5,B,71.2,136,77.7,116,79.9,127,27.3,401,19.1,401,32.0,386,60.5
145,154,UNIVERSITY OF CAPE TOWN,ZA,L,FC,VH,5,A,68.7,142,65.5,170,34.2,401,65.4,137,68.8,194,57.2,220,60.5
147,150,RHEINISCH-WESTFÄLISCHE TECHNISCHE HOCHSCHULE AACHEN,DE,XL,FC,VH,5,A,74.6,120,94.4,40,38.1,401,43.4,289,38.9,313,48.0,276,60.1
148,162,UNIVERSITY OF ABERDEEN,GB,L,FC,HI,5,A,53.6,200,50.6,287,53.6,266,66.2,131,89.4,105,94.9,59,59.9
149,155,UNIVERSITY OF CALIFORNIA IRVINE (UCI),US,L,FC,VH,3,A,66.4,153,40.4,386,25.5,401,98.1,26,53.1,247,28.7,401,59.6
150,161,WAGENINGEN UNIVERSITY,NL,M,FO,VH,4,A,49.6,227,41.2,372,100.0,10,43,292,46.5,272,86.2,101,59.4
151,145,UNIVERSITY OF BERGEN,NO,M,FC,VH,4,A,48.8,231,28.0,401,73.1,155,84.9,69,75.6,171,25.7,401,59.2
151,135,UNIVERSITY OF ROCHESTER,US,M,FC,VH,5,B,42.4,283,12.1,401,99.9,15,75.9,101,39.1,311,74.0,153,59.2
153,165,TEXAS A&M UNIVERSITY,US,XL,FC,VH,5,A,73.0,126,74.2,131,19.7,401,77.6,94,20.2,401,28.2,401,58.7
154,149,UNIVERSITY OF BERN,CH,L,CO,VH,5,A,40.0,308,44.7,336,87.1,100,65.7,134,99.0,42,44.5,297,58.4
155,133,UNIVERSITY OF OTAGO,NZ,L,FC,VH,5,A,62.2,164,56.6,230,30.7,401,62.3,161,100.0,14,76.2,138,58.2
156,163,LANCASTER UNIVERSITY,GB,M,FC,VH,3,A,60.3,175,68.2,151,41.6,397,48.9,252,84.4,130,91.9,72,58.1
157,158,EINDHOVEN UNIVERSITY OF TECHNOLOGY,NL,M,FO,VH,4,A,46.9,249,53.2,260,99.7,28,37.1,335,99.7,37,27.0,401,58.0
158,153,ECOLE NORMALE SUPÉRIEURE DE LYON,FR,S,CO,VH,5,A,59.4,181,28.4,401,100.0,8,28.9,401,58.9,225,42.8,311,57.7
158,160,UNIVERSITÄT WIEN,AT,L,FC,VH,5,A,84.0,84,45.0,333,26.9,401,26.2,401,85.3,123,89.3,87,57.7
160,157,UNIVERSITY OF COLORADO AT BOULDER,US,L,CO,VH,5,A,53.6,201,65.9,167,69.3,165,65.1,141,38.3,318,12.1,401,57.6
161,159,THE HONG KONG POLYTECHNIC UNIVERSITY,HK,L,CO,VH,2,A,60.9,171,59.1,216,46.7,341,41.2,303,99.6,40,89.1,90,57.5
162,179,SUNGKYUNKWAN UNIVERSITY,KR,L,FC,VH,5,B,56.5,188,87.4,71,88.3,93,26.4,401,19.5,401,38.0,345,57.4
163,151,RHEINISCHE FRIEDRICH-WILHELMS-UNIVERSITÄT BONN,DE,L,FC,VH,5,A,70.1,139,33.4,401,69.0,168,45.4,275,15.5,401,41.9,315,57.3
163,146,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM),MX,XL,FC,VH,5,A,95.0,48,78.2,115,44.7,366,6.3,401,19.2,401,2.7,401,57.3
165,170,ZHEJIANG UNIVERSITY,CN,XL,FC,VH,5,A,72.6,128,72.9,135,30.0,401,64.4,147,14.7,401,20.4,401,57.2
166,195,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,CL,L,FC,HI,5,B,85.5,77,87.4,72,42.1,393,17.5,401,17.1,401,21.2,401,57.0
167,156,UNIVERSITI MALAYA (UM),MY,L,FC,VH,5,A,58.8,184,60.8,200,90.0,86,7.5,401,77.3,166,75.2,145,56.9
168,172,UNIVERSITÉ LIBRE DE BRUXELLES (ULB),BE,L,FC,HI,5,A,58.5,185,58.6,221,41.5,398,47.9,258,92.5,88,96.2,49,56.8
168,182,UNIVERSITY OF EXETER,GB,L,FC,HI,4,A,54.2,199,75.4,127,37.4,401,55.4,215,84.1,132,92.0,70,56.8
170,171,STOCKHOLM UNIVERSITY,SE,XL,CO,VH,5,A,79.0,106,63.5,184,43.1,384,38.7,321,16.4,401,21.7,401,56.4
171,174,MICHIGAN STATE UNIVERSITY,US,XL,FC,VH,5,A,64.9,156,67.3,160,28.8,401,58.4,190,66.0,207,50.7,259,56.2
172,166,QUEEN'S UNIVERSITY OF BELFAST,GB,L,FC,HI,5,A,50.2,221,70.4,141,52.5,278,44.3,284,97.4,50,91.0,78,56.1
172,189,VRIJE UNIVERSITEIT BRUSSEL (VUB),BE,M,FC,VH,5,A,41.4,293,70.2,142,96.2,52,31.6,380,71.3,186,64.7,190,56.1
174,186,UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA,CN,L,CO,VH,4,A,60.4,174,45.5,327,60.3,219,70.9,115,12.7,401,2.5,401,55.9
175,164,CASE WESTERN RESERVE UNIVERSITY,US,M,FC,VH,5,B,33.0,392,5.3,401,96.5,49,91.8,52,22.7,401,59.8,210,55.7
175,168,NANJING UNIVERSITY,CN,L,FC,VH,5,A,71.4,135,55.2,243,41.1,401,50.5,244,41.2,297,20.1,401,55.7
177,176,UNIVERSITAT AUTÓNOMA DE BARCELONA,ES,XL,FC,VH,3,A,79.0,104,44.0,344,34.9,401,48.7,253,22.8,401,30.5,396,55.6
178,187,UNIVERSITAT DE BARCELONA (UB),ES,XL,FC,VH,5,A,84.7,81,61.5,193,29.0,401,39.3,313,6.0,401,23.4,401,55.4
179,169,UNIVERSITY OF FLORIDA,US,XL,FC,VH,5,B,61.9,168,51.6,275,55.5,250,58.3,192,15.9,401,26.8,401,55.0
180,191,UNIVERSITY OF WATERLOO,CA,XL,CO,VH,4,A,60.7,172,81.8,99,23.8,401,50,246,78.9,158,70.3,172,54.9
181,167,VANDERBILT UNIVERSITY,US,L,FC,VH,5,B,49.3,228,16.4,401,100.0,7,57.9,195,6.7,401,27.1,401,54.8
181,177,VRIJE UNIVERSITEIT AMSTERDAM,NL,L,FC,VH,5,A,68.2,143,62.8,188,44.4,371,45.6,272,44.7,280,16.3,401,54.8
183,220,TECHNION - ISRAEL INSTITUTE OF TECHNOLOGY,IL,L,FC,VH,4,A,55.2,193,39.7,394,38.4,401,84.5,72,66.2,206,9.9,401,54.6
183,207,TECHNISCHE UNIVERSITÄT BERLIN,DE,L,CO,VH,5,A,71.0,137,73.0,134,55.9,249,17.3,401,38.4,316,43.4,307,54.6
185,196,UNIVERSITY OF ANTWERP,BE,L,FC,VH,3,A,42.2,288,46.4,318,99.5,32,32.3,374,68.9,193,53.5,240,54.2
186,205,UNIVERSITÄT HAMBURG,DE,XL,FC,VH,4,A,70.8,138,46.2,320,55.2,253,31.4,382,26.0,389,46.1,288,54.1
187,178,UNIVERSITY OF BATH,GB,L,CO,VH,3,A,46.5,250,86.9,74,33.0,401,54.3,224,87.7,112,93.8,63,54.0
188,194,UNIVERSITÀ DI BOLOGNA (UNIBO),IT,XL,FC,VH,5,A,86.5,72,67.1,162,16.8,401,37.9,327,7.1,401,19.5,401,53.8
189,183,GEORGETOWN UNIVERSITY,US,L,FC,HI,5,B,49.6,226,68.2,150,52.5,279,55.5,214,63.9,214,40.7,326,53.7
189,175,QUEEN'S UNIVERSITY,CA,L,FC,VH,5,A,53.4,204,67.8,152,22.2,401,78.7,89,74.8,175,29.0,401,53.7
189,218,UNIVERSITÉ PARIS-SUD 11,FR,L,CO,VH,5,A,50.6,219,31.6,401,69.5,164,58.6,189,32.5,349,56.6,222,53.7
192,180,UNIVERSITY OF ILLINOIS CHICAGO (UIC),US,L,FC,VH,5,A,52.3,210,47.3,310,52.8,275,70.3,116,39.3,310,22.2,401,53.5
193,200,KEIO UNIVERSITY,JP,XL,FC,HI,5,B,67.1,146,84.6,88,60.8,215,19.9,401,15.3,401,8.2,401,52.8
193,188,UNIVERSITY OF SUSSEX,GB,L,FC,HI,4,A,51.6,213,41.0,375,33.5,401,61.3,170,85.4,122,93.5,65,52.8
195,206,UNIVERSIDAD AUTÓNOMA DE MADRID,ES,L,FC,VH,3,A,72.8,127,67.6,155,37.8,401,37,338,15.5,401,18.2,401,52.7
196,222,AALTO UNIVERSITY,FI,L,SP,VH,5,A,48.2,237,58.6,219,98.0,42,17,401,55.0,241,30.0,401,52.6
196,216,SAPIENZA - UNIVERSITÀ DI ROMA,IT,XL,FC,VH,5,A,85.3,78,58.1,225,9.8,401,46.4,268,5.2,401,20.0,401,52.6
196,209,TEL AVIV UNIVERSITY,IL,L,FC,VH,4,A,59.6,179,40.7,379,14.4,401,99.4,18,26.9,385,8.6,401,52.6
199,192,NATIONAL TSING HUA UNIVERSITY,TW,M,CO,VH,4,A,59.6,180,40.0,390,32.1,401,76.1,100,41.3,296,13.3,401,52.4
199,173,WESTERN UNIVERSITY,CA,L,FC,VH,5,A,51.1,218,59.6,212,33.7,401,65.2,140,76.5,168,44.7,295,52.4
201,214,UNIVERSITY OF CALGARY,CA,L,FC,VH,3,A,56.2,190,53.6,258,20.6,401,73,108,51.3,253,58.3,212,52.2
202,223,CHALMERS UNIVERSITY OF TECHNOLOGY,SE,M,CO,VH,5,B,44.4,261,78.9,111,55.9,248,45.3,276,69.0,191,51.7,252,52.1
202,185,UNIVERSITY OF LEICESTER,GB,L,FC,HI,4,A,37.0,342,42.0,365,56.5,242,64.4,148,79.4,156,95.8,54,52.1
204,181,TUFTS UNIVERSITY,US,M,FC,VH,5,B,27.6,401,34.0,401,62.7,200,97.2,31,73.3,178,34.9,369,52.0
205,234,UNIVERSITÉ PARIS DIDEROT - PARIS 7,FR,L,FC,VH,5,A,68.9,141,17.4,401,26.9,401,61.8,167,41.4,295,49.7,262,51.8
205,193,UNIVERSITY OF GOTHENBURG,SE,L,FC,VH,5,A,54.4,197,51.3,279,47.4,334,62.6,160,35.2,332,19.6,401,51.8
205,211,UNIVERSITY OF TURKU,FI,L,FC,HI,4,A,45.2,256,64.1,178,86.2,107,37.7,329,35.6,331,10.5,401,51.8
208,201,UNIVERSITÄT FRANKFURT AM MAIN,DE,XL,FC,VH,4,A,61.9,167,61.0,196,37.4,401,43.8,287,23.3,401,51.7,250,51.0
209,230,UNIVERSIDAD DE BUENOS AIRES,AR,XL,FC,HI,5,A,91.9,63,90.5,62,15.3,401,5.8,401,,,12.6,401,50.8
210,190,UNIVERSITY COLLEGE CORK (UCC),IE,L,FC,HI,5,A,47.7,242,67.1,161,43.8,376,45.9,271,88.3,108,45.3,293,50.6
210,203,UNIVERSITY OF TSUKUBA,JP,L,FC,VH,3,A,52.3,209,36.0,401,90.9,81,28,401,15.7,401,26.7,401,50.6
212,183,UNIVERSITY OF ARIZONA,US,XL,FC,VH,5,A,57.4,186,22.5,401,38.9,401,75.8,102,23.5,399,18.9,401,50.5
213,215,UNIVERSITY OF READING,GB,M,CO,VH,5,A,45.8,254,54.5,252,48.3,320,40.7,306,84.9,124,87.8,93,50.4
214,213,SCIENCES PO PARIS,FR,M,SP,HI,5,A,36.7,347,85.3,82,90.9,80,1.8,401,68.0,197,97.3,37,50.2
215,228,UNIVERSIDADE ESTADUAL DE CAMPINAS (UNICAMP),BR,L,FC,VH,3,A,72.0,134,61.6,191,34.0,401,35.9,345,13.4,401,6.2,401,50.1
216,208,KING FAHD UNIVERSITY OF PETROLEUM & MINERALS (KFUPM),SA,M,FO,VH,4,A,44.0,265,55.4,242,84.7,113,7.7,401,100.0,12,61.6,201,49.9
216,226,UNIVERSIDAD COMPLUTENSE DE MADRID (UCM),ES,XL,FC,VH,5,A,78.2,109,76.1,123,33.7,401,14.8,401,3.7,401,19.7,401,49.9
216,217,UNIVERSITÉ PARIS-SORBONNE (PARIS IV),FR,L,SP,VH,5,A,85.8,75,76.0,124,15.7,401,1.9,401,24.7,395,59.9,209,49.9
219,204,UNIVERSITY OF DUNDEE,GB,M,FC,VH,5,A,35.2,358,16.6,401,68.3,173,61.6,168,81.8,143,75.7,142,49.8
220,248,UNIVERSITÉ JOSEPH FOURIER - GRENOBLE 1,FR,L,CO,VH,5,A,52.5,208,37.6,401,45.4,358,61.2,171,20.0,401,47.2,282,49.6
220,198,WASEDA UNIVERSITY,JP,XL,CO,VH,5,B,72.3,132,85.4,81,35.4,401,9.6,401,34.1,337,24.7,401,49.6
222,212,INDIAN INSTITUTE OF TECHNOLOGY DELHI (IITD),IN,M,CO,VH,4,A,51.3,215,86.8,75,35.9,401,63.3,157,1.3,401,1.5,401,49.4
223,225,UNIVERSIDAD DE CHILE,CL,XL,FC,HI,5,A,80.1,99,79.4,108,19.1,401,21.5,401,12.2,401,8.1,401,49.3
224,235,UNIVERSITY OF NOTRE DAME,US,M,CO,VH,5,B,41.3,296,61.6,192,51.7,288,61.9,166,49.8,256,21.9,401,49.2
225,218,UNIVERSITÉ PARIS 1 PANTHÉON-SORBONNE,FR,XL,FO,HI,5,A,80.4,97,88.0,67,8.2,401,4.2,401,34.0,339,74.7,151,49.1
226,232,UNIVERSITÉ DE STRASBOURG,FR,XL,FC,HI,5,A,74.3,121,25.8,401,19.6,401,36.5,341,28.0,378,67.3,183,48.5
227,240,UNIVERSITY OF OTTAWA,CA,XL,FC,VH,5,A,47.3,247,31.7,401,13.7,401,84.7,70,88.7,107,39.8,333,48.4
228,224,UNIVERSITY OF TWENTE,NL,M,FO,VH,4,A,39.0,320,39.1,400,44.4,372,59.8,180,74.6,176,75.4,144,48.0
229,236,UNIVERSITY OF EAST ANGLIA (UEA),GB,L,FC,HI,4,A,44.1,264,31.2,401,42.5,390,48.4,254,83.9,133,88.0,92,47.7
230,238,NATIONAL CHIAO TUNG UNIVERSITY,TW,M,CO,VH,5,A,36.8,344,34.0,401,59.5,225,62.1,162,51.3,252,47.2,281,47.5
230,244,POLITECNICO DI MILANO,IT,L,SP,VH,5,A,64.0,159,90.6,61,16.7,401,29,401,28.7,373,42.3,314,47.5
232,231,UNIVERSITY OF MIAMI,US,L,FC,VH,4,B,27.4,401,25.8,401,95.9,55,59.2,182,12.3,401,40.0,332,47.3
233,286,CHARLES UNIVERSITY,CZ,XL,FC,VH,5,A,57.1,187,54.3,253,53.1,272,21.1,401,13.6,401,62.0,199,47.1
233,227,INDIAN INSTITUTE OF TECHNOLOGY BOMBAY (IITB),IN,M,CO,VH,4,A,58.9,183,89.2,65,28.1,401,43,294,3.8,401,1.2,401,47.1
235,256,UNIVERSITÀ DEGLI STUDI DI MILANO,IT,XL,FC,VH,4,A,63.2,161,56.1,235,19.0,401,54.2,225,10.8,401,10.7,401,46.8
236,199,UNIVERSITY OF IOWA,US,L,FC,VH,5,A,42.5,279,25.3,401,48.1,324,74,106,12.6,401,34.9,370,46.5
236,245,WESTFÄLISCHE WILHELMS-UNIVERSITÄT MÜNSTER,DE,XL,FC,VH,5,A,51.3,216,60.2,202,53.4,269,33.4,365,28.0,379,20.5,401,46.5
238,221,UNIVERSITY OF CANTERBURY,NZ,M,CO,VH,5,A,46.2,253,67.7,153,20.9,401,41.7,302,100.0,27,66.1,187,46.2
239,201,CHULALONGKORN UNIVERSITY,TH,XL,FC,HI,4,A,73.8,124,60.8,199,36.6,401,10.2,401,15.3,401,3.7,401,46.1
240,210,INDIANA UNIVERSITY BLOOMINGTON,US,XL,FC,VH,5,A,61.5,170,51.7,273,34.5,401,37.3,332,1.2,401,31.5,389,45.9
240,253,SAINT-PETERSBURG STATE UNIVERSITY,RU,L,FC,HI,5,A,49.7,223,40.3,387,97.9,44,3.6,401,5.2,401,24.3,401,45.9
240,239,UNIVERSITY OF LIEGE,BE,L,FC,VH,5,A,37.2,340,42.8,355,59.8,222,44.9,279,46.0,276,66.2,186,45.9
243,247,UNIVERSITÄT KÖLN,DE,XL,FC,HI,5,B,55.0,195,67.3,158,16.3,401,51.6,240,30.9,358,33.5,377,45.7
244,243,DALHOUSIE UNIVERSITY,CA,L,FC,VH,5,A,38.3,329,19.6,401,31.6,401,73,109,89.1,106,55.2,230,45.6
244,242,LOUGHBOROUGH UNIVERSITY,GB,L,FO,VH,3,A,41.5,291,76.6,120,38.0,401,27.4,401,84.7,126,77.3,133,45.6
244,282,SIMON FRASER UNIVERSITY,CA,L,CO,VH,3,A,41.8,289,43.7,347,11.4,401,65.3,139,94.4,72,85.0,106,45.6
247,271,NATIONAL CHENG KUNG UNIVERSITY,TW,L,FC,VH,4,A,48.7,233,40.4,385,47.9,326,47.9,259,20.8,401,32.4,383,45.5
248,229,UNIVERSITÄT STUTTGART,DE,L,CO,VH,5,A,41.1,299,59.9,204,75.7,140,13.6,401,34.0,340,64.8,189,45.4
249,249,HANYANG UNIVERSITY,KR,L,FC,VH,4,B,32.4,401,50.2,290,96.0,53,15.6,401,27.3,382,69.0,177,45.3
250,250,AMERICAN UNIVERSITY OF BEIRUT (AUB),LB,M,FC,HI,5,B,26.3,401,79.2,109,66.9,177,20.3,401,95.9,59,84.9,107,45.1
251,289,NORWEGIAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,NO,L,FC,VH,5,A,44.9,257,44.7,337,44.9,362,40.9,305,73.1,180,30.9,391,45.0
252,252,BEIJING NORMAL UNIVERSITY,CN,L,CO,VH,5,A,56.4,189,39.4,398,44.5,370,21,401,72.1,184,28.6,401,44.8
253,197,KING SAUD UNIVERSITY (KSU),SA,XL,FC,HI,4,A,43.3,271,35.2,401,86.1,109,3.8,401,96.4,56,17.8,401,44.7
253,262,UNIVERSITY OF OULU,FI,M,FC,VH,4,A,32.5,401,21.0,401,83.2,120,44.3,283,65.0,209,14.5,401,44.7
255,270,KYUNG HEE UNIVERSITY,KR,L,FC,VH,4,B,36.8,346,72.0,139,83.6,116,11.5,401,21.1,401,47.6,279,44.5
255,260,RUTGERS - THE STATE UNIVERSITY OF NEW JERSEY NEW BRUNSWICK,US,XL,CO,VH,5,A,52.8,205,25.2,401,38.3,401,50.7,242,37.2,325,21.0,401,44.5
257,254,UNIVERSITY OF STRATHCLYDE,GB,L,CO,VH,5,A,40.5,303,66.7,164,37.9,401,30.8,388,83.3,136,69.0,178,44.4
258,251,UNIVERSITÄT ULM,DE,M,CO,VH,3,A,18.0,401,18.2,401,92.6,74,64.9,143,29.1,368,38.2,343,44.0
259,314,UNIVERSITÀ DI PISA,IT,XL,FC,VH,5,A,59.9,178,41.9,366,7.8,401,64.2,150,13.1,401,10.4,401,43.9
260,275,TECHNISCHE UNIVERSITÄT DARMSTADT,DE,L,FO,VH,5,A,36.9,343,81.6,101,34.9,401,37.1,337,64.2,213,63.1,196,43.8
261,290,UNIVERSITY OF MASSACHUSETTS AMHERST,US,L,CO,VH,5,A,49.7,225,40.1,389,26.6,401,60.1,177,27.0,383,15.9,401,43.5
262,288,TECHNISCHE UNIVERSITÄT DRESDEN,DE,XL,FC,VH,5,A,46.5,251,59.8,205,32.4,401,45.6,274,28.6,374,32.0,385,43.4
263,233,MACQUARIE UNIVERSITY,AU,L,FC,HI,3,A,42.3,286,72.4,138,15.7,401,30.5,394,99.8,36,94.4,60,43.3
264,274,TECHNISCHE UNIVERSITÄT WIEN,AT,L,FO,VH,5,A,45.2,255,67.7,154,20.0,401,33.2,366,60.5,220,89.8,84,43.2
265,267,ROYAL HOLLOWAY UNIVERSITY OF LONDON,GB,M,CO,VH,5,A,34.2,372,38.7,401,34.4,401,43.9,285,95.4,67,98.4,32,43.1
265,237,VICTORIA UNIVERSITY OF WELLINGTON,NZ,L,CO,HI,5,A,48.6,235,66.3,165,19.4,401,22.2,401,100.0,29,71.9,161,43.1
267,298,UNIVERSITÀ DEGLI STUDI DI PADOVA (UNIPD),IT,XL,FC,VH,5,A,62.9,163,43.6,350,22.4,401,40.3,310,3.7,401,10.7,401,42.9
